classID,className,pt1,eta1,phi1,pt2,eta2,phi2,weight,BDT
1,Background,0.54119414,-1.8098017,3.081525,0.3329567,-1.7929009,1.5404128,1.0,-0.10561861
1,Background,0.6965872,4.3926644,-3.049132,0.62010086,7.2468863,2.5716546,1.0,-0.12856188
1,Background,0.5349204,5.0568757,-1.4910473,0.5241211,-3.8533614,1.4430928,1.0,-0.14372958
0,Signal,2.5029826,6.370064,-2.7281115,0.8873803,3.6517448,1.6448884,1.0,0.2473142
0,Signal,6.339771,4.790457,-0.40615007,0.8250525,0.7807004,2.4672158,1.0,0.28643638
0,Signal,1.8056949,-6.3239145,-0.566624,0.7243784,-4.890491,1.1749859,1.0,0.19247326
0,Signal,2.5540652,-3.5017927,-1.9060129,0.68775916,-6.887346,1.336177,1.0,0.2698564
0,Signal,1.8332132,6.4125867,-3.0940106,1.0121578,2.091204,-0.21401028,1.0,0.085445724
1,Background,0.7489641,3.17274,-2.4219017,0.5028627,1.4641205,0.5601243,1.0,-0.08378642
0,Signal,1.9289969,7.7342463,1.1612364,0.6007028,4.679125,0.7687337,1.0,0.20365179
0,Signal,4.1813617,1.8179487,1.9330235,0.79981333,-4.434391,-0.9614139,1.0,0.34708515
0,Signal,0.5663853,-5.5814366,-1.638298,0.45779347,-4.3847613,2.1401515,1.0,-0.057890438
1,Background,0.6131886,-3.7782204,1.5495596,0.54464155,-3.2268414,-0.7885837,1.0,-0.20318975
0,Signal,3.5581515,1.2855947,-2.1617846,0.6506373,-3.878799,1.2405576,1.0,0.27784497
0,Signal,1.6900262,7.0588164,2.913963,0.70154625,-5.844563,-0.2986635,1.0,0.18031578
1,Background,0.69076407,3.9542837,-2.8727248,0.48984307,1.697708,-0.40118822,1.0,-0.08438431
0,Signal,0.811821,4.0952964,2.143556,0.80087537,2.828068,-2.8365026,1.0,-0.081209876
0,Signal,1.315386,2.7243192,1.2641531,1.1138884,1.0858331,-1.6113993,1.0,-0.009255496
0,Signal,21.141527,-0.6628444,-2.9381652,1.5555617,-1.8904604,1.2925581,1.0,0.18744074
1,Background,0.44822633,7.4060936,-2.978187,0.41197485,-7.169253,2.3707993,1.0,-0.15528902
0,Signal,1.1271204,-0.7009112,1.3222284,0.35218164,-7.0564656,-1.5015669,1.0,0.09693012
1,Background,1.4463592,-4.026984,-0.49541482,1.4209589,0.589529,-0.9482937,1.0,-0.063878484
1,Background,0.8242371,5.5112543,0.21253182,0.7918606,6.9011054,0.28030398,1.0,-0.085249305
0,Signal,1.7796967,-4.794396,-1.9483691,0.8254822,-2.0138333,-2.4486072,1.0,0.107368946
0,Signal,2.153008,3.212454,-2.2335005,0.5499374,3.1651618,-1.8237892,1.0,0.17971699
1,Background,0.9515837,2.963638,1.8257532,0.9195808,6.8722134,2.7985687,1.0,-0.13145806
0,Signal,10.397758,5.222897,2.9239726,0.88266164,5.1267595,-0.7463821,1.0,0.26439986
0,Signal,1.4347329,-6.4117894,1.8941642,0.51255876,6.894831,-1.2576046,1.0,0.08882032
0,Signal,16.850943,-0.28774247,-2.6699982,1.6826154,-1.4268895,-0.6076333,1.0,0.233178
1,Background,0.6932634,2.2279952,2.2888162,0.5978472,-5.576742,-1.0194054,1.0,-0.095446035
0,Signal,1.2343874,-7.8333697,0.47998706,0.50085396,2.831454,2.6819909,1.0,0.14193577
1,Background,0.57693624,4.7016983,1.8070241,0.56639105,3.9575655,-1.5750331,1.0,-0.16545415
1,Background,1.916779,2.9311137,2.2655416,1.2712089,5.694133,-0.21961458,1.0,0.02319004
0,Signal,2.9440742,7.2642035,1.2920645,1.3239493,0.7755701,-2.3531644,1.0,0.23055279
0,Signal,3.073472,6.304519,-0.4232063,0.65138423,-1.9597726,-0.20272852,1.0,0.27829403
0,Signal,1.1497296,6.0819316,-0.42795712,0.4441868,1.7122709,1.5188073,1.0,0.0104113035
0,Signal,1.7693852,6.2714744,-2.4704154,0.63495153,-1.203846,0.15365583,1.0,0.17514704
1,Background,0.55458766,-3.6362822,-2.319601,0.4867026,-4.1486144,-0.43692598,1.0,-0.20285787
1,Background,0.823209,2.224807,1.8039814,0.6253735,-2.3905222,-1.7323514,1.0,-0.11992917
0,Signal,4.4020195,2.406466,-2.855332,1.4191666,-2.8647013,0.7922602,1.0,0.19214186
1,Background,0.4998947,-3.6717885,-1.5796529,0.482128,-3.43042,-0.091180414,1.0,-0.1791531
1,Background,1.4237708,2.3565445,2.2627404,1.0189018,-5.773863,-0.5109303,1.0,0.023203364
1,Background,0.7063234,5.0251822,1.3363885,0.59399223,4.198444,-1.5968506,1.0,-0.12450238
1,Background,0.62499195,0.87001663,1.3461546,0.48727152,-8.161519,-1.1005394,1.0,-0.11986454
0,Signal,3.0913656,6.9258647,1.2716502,0.6505598,-2.293492,-1.7910414,1.0,0.32544726
1,Background,0.9423205,5.2819,-2.4819918,0.9219765,4.807252,-2.8710074,1.0,-0.093756154
1,Background,0.6994305,6.002141,1.2433889,0.540185,1.3142978,-2.488574,1.0,-0.10487473
0,Signal,1.9819587,-5.2475266,2.7021008,0.57029724,2.8352575,0.3518593,1.0,0.20497665
1,Background,0.56988156,-0.82609177,0.12745807,0.49894238,-2.95893,1.7063026,1.0,-0.1651964
1,Background,0.6783868,2.2758386,-0.27408388,0.61791486,-1.2005063,1.2835464,1.0,-0.14116526
0,Signal,2.125567,6.8381047,-2.0440776,0.6201429,0.34195185,1.5456686,1.0,0.23800185
0,Signal,2.0711553,-6.5433154,1.0549598,0.55983305,2.89705,-1.8149842,1.0,0.24400283
0,Signal,2.2566786,-2.29128,0.49491888,0.8696335,-1.8417768,-2.5824642,1.0,0.12273908
0,Signal,2.0840802,-0.43232465,-1.1852007,0.6927625,2.4300618,-1.5260123,1.0,0.1663179
1,Background,1.1857849,-2.8841474,-0.46953404,0.8473934,-0.74270034,3.1284919,1.0,-0.015504606
1,Background,0.7462808,6.329279,-2.1685765,0.49573293,4.255213,-1.1961231,1.0,-0.11311299
0,Signal,1.4221858,-3.4916034,2.2851777,0.59241843,-5.656272,-1.9489102,1.0,0.08952651
1,Background,0.6494022,4.6745343,-0.8371549,0.40618894,7.097886,2.554851,1.0,-0.1313607
0,Signal,3.1512604,-6.461923,2.5288594,0.8711854,4.5986843,-2.7622888,1.0,0.22278681
0,Signal,1.9669125,-0.74339473,-3.1272132,1.00752,1.873459,-1.226338,1.0,0.028006561
0,Signal,1.8386502,7.611063,3.0619621,0.5795081,4.9146585,0.6876209,1.0,0.21276364
